,이용횟수
41021019.0,174
41003014.0,33
11110966.0,33
41002901.0,298
11110805.0,23
11110658.0,11
41008128.0,4
41002905.0,398
41324003.0,225
11110967.0,39
11110663.0,48
41003037.0,4
41341001.0,10
11110641.0,33
11110297.0,34
11110216.0,17
41002210.0,40
41032033.0,17
41015002.0,33
41030009.0,8
41079010.0,38
11110032.0,49
41420011.0,130
41004032.0,26
11110977.0,21
41079008.0,30
41085900.0,21
11111002.0,88
11110555.0,27
41030011.0,132
41076007.0,8
41110102.0,11
41011111.0,49
41002051.0,6
41005014.0,3
41003342.0,57
41007020.0,32
28217002.0,13
11110543.0,22
41006335.0,6
41003017.0,51
11110002.0,24
28011002.0,7
41343002.0,134
11110369.0,5
41006246.0,114
11110288.0,26
11110006.0,22
11110542.0,21
41219001.0,120
41003021.0,42
11110312.0,22
41002007.0,87
41036035.0,92
41023151.0,16
41051110.0,34
41026029.0,34
41018184.0,1
41002296.0,23
41002093.0,128
41007011.0,64
41077013.0,27
41309001.0,7
41007800.0,51
11110208.0,41
28040002.0,8
11110721.0,7
11110173.0,5
41285009.0,34
41310002.0,2
41046016.0,4
41002804.0,25
41037001.0,229
41025001.0,79
41011900.0,6
11110117.0,11
11110155.0,8
41003800.0,8
41056002.0,11
28009001.0,35
11110610.0,36
41002029.0,58
11110394.0,5
41088009.0,1
41425020.0,136
41110113.0,61
11110630.0,1
11110509.0,20
11110009.0,25
41245005.0,159
41045010.0,19
11110306.0,29
41022140.0,16
41343001.0,52
41007115.0,4
41044108.0,6
41420009.0,95
41002370.0,2
11110422.0,22
41003906.0,287
11110259.0,129
11110528.0,12
28333001.0,9
28206002.0,2
41021004.0,118
11110845.0,8
41003503.0,6
28228002.0,3
11110753.0,49
41032039.0,3
41248001.0,102
11110346.0,59
41015001.0,15
11110948.0,8
11110616.0,20
11110353.0,26
41091900.0,15
41283008.0,14
41006064.0,42
41003005.0,130
11110704.0,32
28038004.0,11
41005145.0,20
28309001.0,2
41001013.0,11
41005033.0,11
11110418.0,22
11110535.0,18
11110900.0,3
11110059.0,15
41007027.0,44
28214003.0,2
11110001.0,48
41068130.0,31
41423018.0,119
41262004.0,11
41026004.0,194
11110139.0,12
41003022.0,54
41006248.0,36
11110067.0,46
41003126.0,11
11110331.0,13
11110233.0,51
41274004.0,98
41110206.0,22
41032015.0,4
11110028.0,47
11110740.0,13
41006251.0,66
41006250.0,59
41011135.0,6
11110554.0,14
11110057.0,9
41006037.0,29
41032013.0,5
11110808.0,42
41225001.0,10
41021005.0,35
41007022.0,107
41227001.0,2
41485018.0,20
41016021.0,4
41079002.0,36
11110213.0,43
41352001.0,2
41026037.0,38
41002058.0,23
11110045.0,48
41074085.0,57
41091010.0,8
28228009.0,1
41419007.0,41
41005016.0,5
41045007.0,34
11110038.0,110
41030015.0,20
11110193.0,13
41017009.0,1
41483004.0,45
41022101.0,4
11110392.0,20
11110520.0,5
11111163.0,23
41453008.0,4
28030020.0,7
11110214.0,25
11110279.0,4
11110675.0,7
41006401.0,29
11110276.0,14
11110359.0,16
41030010.0,15
11110175.0,9
41021020.0,165
41110070.0,59
41007122.0,30
41002427.0,4
11110643.0,16
11110587.0,10
11110061.0,10
11110320.0,3
11110327.0,8
11110991.0,20
41395002.0,19
41039010.0,1
41039005.0,27
41030006.0,4
11110564.0,2
41007117.0,9
