,이용횟수
4150259.0,179
4119253.0,35
4111911.0,278
4102149.0,14
4100083.0,1996
4110081.0,910
4179316.0,331
4179141.0,600
4110286.0,484
1511.0,22
4112210.0,53
4110256.0,543
4179259.0,31
4108240.0,2
4100089.0,484
10700.0,25
9004289.0,1
4101578.0,133
4116898.0,1025
4150171.0,929
218.0,102
4107940.0,5560
4130087.0,278
4131034.0,1351
4199620.0,329
4115595.0,172
4198680.0,118
4135682.0,13
4108049.0,1482
4116807.0,603
4108064.0,800
4100046.0,187
4160290.0,854
4199044.0,45
4123689.0,403
4116924.0,165
4125.0,1074
9012434.0,4
4108139.0,518
9009781.0,3
4108137.0,611
4107943.0,1020
4107953.0,782
4108054.0,2442
4116816.0,967
4176122.0,50
4103572.0,140
10681.0,8
4130339.0,27
4117059.0,702
4116851.0,1386
4103534.0,70
4103571.0,303
4110265.0,174
4111873.0,899
4116907.0,885
4108034.0,3103
4116789.0,744
4170103.0,1678
4116890.0,329
4111824.0,670
4314.0,1041
1205.0,21
4111826.0,317
4170263.0,511
4116862.0,692
4170409.0,172
4116668.0,538
4112045.0,177
4112035.0,80
4110191.0,113
4117351.0,4
4100061.0,723
4116677.0,771
4103279.0,2727
4100041.0,672
4117385.0,95
9011700.0,9
205.0,67
4105239.0,30
4105297.0,452
4100050.0,1212
4100101.0,1245
4100030.0,1076
4170531.0,139
4103554.0,41
4108226.0,393
4116967.0,930
4100158.0,1168
4116942.0,342
2631.0,76
4199604.0,39
1706.0,2051
4130063.0,334
4170943.0,1676
4135026.0,525
4176331.0,150
4176330.0,237
4111626.0,389
4117252.0,1296
7102877.0,303
4135007.0,595
4170109.0,527
4114239.0,1162
4111654.0,14
4100038.0,855
4100067.0,475
4130506.0,983
4170462.0,220
4198645.0,1217
4130442.0,862
4130354.0,753
7103109.0,9
1803.0,186
4116620.0,32
4103271.0,4
1402.0,74
1455.0,658
4116801.0,619
4116718.0,425
4116944.0,188
4100558.0,555
4115048.0,463
4111752.0,448
2806867.0,3
4170976.0,1004
4111821.0,1053
4103144.0,43
4170429.0,742
4108215.0,596
4130129.0,957
4117312.0,63
2742.0,35
4114208.0,269
1860.0,279
9818.0,4
2800753.0,2
1808.0,67
4100646.0,635
4103492.0,226
4130326.0,46
4150180.0,78
4118248.0,1
4118247.0,9
4100017.0,144
4170266.0,57
4170272.0,441
4135517.0,380
4103991.0,170
4117253.0,1784
4517.0,167
4116847.0,363
4120450.0,593
4176606.0,47
4150151.0,73
4111845.0,790
4111743.0,1418
4100559.0,441
4108114.0,1477
4108035.0,2636
4197589.0,127
4102830.0,243
4102829.0,3263
10718.0,155
4100053.0,1210
4116874.0,1217
4111841.0,842
326.0,145
4150148.0,117
1709.0,702
4135006.0,137
1885.0,17
4116695.0,477
4199311.0,224
4116689.0,514
329.0,238
4103263.0,151
4116983.0,832
4119241.0,78
4179327.0,945
4116589.0,164
4108055.0,304
4217.0,4
4195495.0,371
4178982.0,231
2518.0,74
4100649.0,231
4117854.0,19
4135024.0,650
4117849.0,33
4117050.0,683
4102943.0,123
4108089.0,414
